name,c1,c2,c3,c4,c5
BSX,MDT,ABT,EW,ZBH,SYK
BX,KKR,APO,BLK,MS,GS
BXP,ARE,VTR,WELL,PLD,SPG
C,JPM,BAC,WFC,GS,MS
CAG,KHC,GIS,CPB,K,MDLZ
CAH,MCK,COR,CVS,WBA,UNH
CARR,TT,JCI,LII,HON,PH
CAT,DE,PCAR,CMI,PH,ITW
CB,TRV,AIG,HIG,ALL,PGR
CBOE,CME,ICE,NDAQ,SPGI,MKTX
CBRE,SPG,PLD,BXP,O,ARE
CCI,AMT,SBAC,EQIX,DLR,IRM
CCL,RCL,NCLH,MGM,MAR,HLT
CDNS,SNPS,ANSS,ADSK,ADBE,PTC
CDW,DELL,HPQ,HPE,CSCO,ANET
CEG,EXC,NEE,D,SO,DUK
CF,MOS,CTVA,DOW,LYB,EMN
CFG,FITB,RF,PNC,MTB,KEY
CHD,CL,CLX,PG,KMB,KHC
CHRW,EXPD,UPS,FDX,JBHT,ODFL
CHTR,CMCSA,TMUS,T,VZ,DIS
CI,UNH,HUM,ELV,CVS,CNC
CINF,WRB,CB,TRV,HIG,PGR
CL,PG,KMB,CHD,CLX,KHC
CLX,PG,KMB,CHD,CL,KHC
CMCSA,CHTR,DIS,PARA,WBD,T
CME,ICE,CBOE,NDAQ,SPGI,MSCI
CMG,MCD,YUM,DRI,DPZ,SBUX
CMI,PCAR,CAT,DE,PH,ITW
CMS,DTE,XEL,WEC,D,EIX
CNC,UNH,HUM,ELV,CI,CVS
CNP,AEP,DUK,SO,XEL,EXC
COF,AXP,SYF,BAC,JPM,USB
COO,ALGN,IDXX,HOLX,BDX,ZBH
COP,EOG,OXY,CVX,XOM,FANG
COR,MCK,CAH,CVS,WBA,UNH
COST,WMT,TGT,AMZN,DLTR,DG
CPAY,GPN,FIS,FI,MA,V
CPB,KHC,GIS,CAG,K,MDLZ
CPRT,KMX,AZO,ORLY,GPC,F
CPT,AVB,EQR,MAA,UDR,ESS
CRL,IQV,TMO,DHR,WAT,LH
CRM,ADBE,MSFT,NOW,INTU,ORCL
CRWD,PANW,FTNT,MSFT,AKAM,CSCO
CSCO,ANET,JNPR,HPE,DELL,MSI
CSGP,SPGI,MSCI,MCO,FDS,ICE
CSX,UNP,NSC,ODFL,UPS,FDX
CTAS,GWW,ROK,ITW,ROP,MMM
CTRA,DVN,EOG,FANG,OXY,COP
CTSH,ACN,IBM,EPAM,IT,HPE
CTVA,ADM,BG,CF,MOS,DE
CVS,CI,UNH,ELV,HUM,CAH
CVX,XOM,COP,OXY,EOG,PSX
CZR,MGM,WYNN,LVS,MAR,HLT
D,DUK,SO,EXC,AEP,EIX
DAL,UAL,AAL,LUV,BA,UBER
DASH,UBER,ABNB,AMZN,WMT,COST
DAY,PAYC,ADP,PAYX,INTU,WDAY
DD,DOW,EMN,LYB,ECL,APD
DE,CAT,CMI,PCAR,ITW,PH
DECK,NKE,LULU,RL,TPR,VFC
DELL,HPQ,HPE,CDW,CSCO,ANET
DG,DLTR,TGT,WMT,COST,KR
DGX,LH,IDXX,BDX,HOLX,TMO
DHI,LEN,PHM,NVR,MLM,VMC
DHR,TMO,MTD,WAT,RVTY,A
DIS,WBD,PARA,CMCSA,NFLX,NWSA
DLR,EQIX,IRM,AMT,CCI,SBAC
DLTR,DG,TGT,WMT,COST,WSM
DOC,WELL,VTR,ARE,BXP,PLD
DOV,ITW,ROK,EMR,IR,PH
DOW,LYB,EMN,APD,DD,CF
DPZ,YUM,MCD,CMG,SBUX,DRI
DRI,YUM,MCD,CMG,DPZ,SBUX
DTE,CMS,WEC,NI,XEL,ED
DUK,SO,AEP,EXC,D,NEE
DVA,DXCM,IDXX,HOLX,HCA,UHS
DVN,EOG,FANG,OXY,COP,PXD
DXCM,IDXX,ALGN,ISRG,TMO,EW
EA,TTWO,ATVI,UBI,MSFT,SONY
EBAY,AMZN,ETSY,SHOP,WMT,PYPL
ECL,APD,LIN,EMN,DOW,DD
ED,EIX,EXC,SO,D,PEG
EFX,EXPGF,TRU,SPGI,MSCI,FICO
EG,ELV,CI,HUM,UNH,CNC
EIX,SO,D,ED,EXC,PEG
EL,PG,CLX,KMB,CL,CHD
ELV,UNH,CI,HUM,CNC,CVS
EMN,DOW,LYB,DD,APD,ECL
EMR,ROK,ETN,ITW,IR,PH
ENPH,FSLR,SEDG,RUN,NOVA,TSLA
EOG,DVN,FANG,COP,OXY,XOM
EPAM,ACN,CTSH,IBM,IT,DXC
EQIX,DLR,IR,AMT,CCI,SBAC
EQR,AVB,MAA,UDR,ESS,CPT
EQT,OXY,COP,EOG,DVN,CTRA
ERIE,WRB,CINF,HIG,TRV,CB
ES,AEP,DUK,SO,EXC,NEE
ESS,AVB,EQR,MAA,UDR,CPT
ETN,ROK,EMR,PH,IR,ROK
ETR,AEP,DUK,SO,EXC,EIX
EVRG,ES,AEP,XEL,WEC,NI
EW,ZBH,SYK,BSX,ISRG,RMD
EXC,SO,DUK,D,AEP,NEE
EXE,EXPD,EXPE,EXR,CME,EXC
EXPD,CHRW,UPS,FDX,ODFL,JBHT
EXPE,BKNG,ABNB,UBER,LYV,RCL
EXR,PSA,CUBE,LIFE,O,SPG
F,GM,STLA,TM,HMC,NIO
FANG,EOG,DVN,COP,OXY,PXD
FAST,GWW,URI,ROK,ITW,MAS
FCX,NUE,CLF,AA,STLD,NEM
FDS,SPGI,MSCI,MCO,CSGP,ICE
FDX,UPS,ODFL,CHRW,JBHT,R
FE,ED,EIX,PEG,D,EXC
FFIV,CSCO,ANET,JNPR,MSI,HPE
FI,FIS,GPN,ADP,PAYX,INTU
FICO,SPGI,MSCI,MCO,EFX,TRU
FIS,FI,GPN,ADP,PAYX,V
FITB,PNC,KEY,CFG,RF,MTB
FOX,FOXA,PARA,WBD,DIS,CMCSA
FOXA,FOX,PARA,WBD,DIS,CMCSA
FRT,SPG,REG,O,KIM,MAC
FSLR,ENPH,RUN,SEDG,NOVA,TSLA
FTNT,PANW,CRWD,AKAM,CSCO,MSFT
FTV,ROK,EMR,ETN,IR,PH
GD,LMT,NOC,RTX,HII,TDY
GDDY,CRM,INTU,ADBE,NOW,WDAY
GE,HON,MMM,EMR,ETN,ROP
GEHC,MDT,BDX,ABT,BSX,EW
GEN,PANW,FTNT,CRWD,AKAM,MSFT
GEV,NEE,CEG,EXC,SO,D
GILD,AMGN,REGN,BIIB,MRK,BMY
GIS,K,KHC,CPB,MDLZ,HSY
GL,PRU,MET,HIG,PFG,LNC
GLW,TEL,APH,KEYS,AMAT,HPQ
GM,F,APTV,TSLA,KMX,AZO
GNRC,ETN,ROK,EMR,PH,IR
GOOG,MSFT,META,AMZN,AAPL,NVDA
GOOGL,MSFT,META,AMZN,AAPL,NVDA
GPC,AZO,ORLY,KMX,GM,F
GPN,FI,FIS,MA,V,PYPL
GRMN,AAPL,APTV,TEL,GLW,HPQ
GS,MS,JPM,BAC,C,SCHW
GWW,FAST,URI,ROK,ITW,MAS
HAL,SLB,BKR,OXY,COP,FANG
HAS,DIS,EA,TTWO,PARA,WBD
HBAN,FITB,KEY,RF,MTB,PNC
HCA,UHS,DVA,DGX,LH,HUM
HD,LOW,WSM,WMT,COST,TSCO
HES,COP,EOG,OXY,CVX,XOM
HIG,CB,TRV,ALL,WRB,CINF
HII,GD,LMT,NOC,RTX,TDY
HLT,MAR,HST,LVS,MGM,WYNN
HOLX,IDXX,DXCM,TMO,BDX,DHR
HON,GE,MMM,EMR,ETN,ITW
HPE,DELL,CSCO,ANET,HPQ,JNPR
HPQ,DELL,HPE,AAPL,MSFT,IBM
HRL,KHC,CPB,GIS,K,MDLZ
HSIC,MCK,CAH,COR,CVS,WBA
HST,HLT,MAR,MGM,LVS,WYNN
HSY,MDLZ,MKC,GIS,K,KHC
HUBB,TEL,APH,ROK,ETN,KEYS
HUM,UNH,ELV,CI,CNC,CVS
HWM,TDG,RTX,GE,LHX,GD
IBM,ACN,MSFT,HPE,ORCL,IT
ICE,CME,CBOE,NDAQ,SPGI,MSCI
IDXX,TMO,DHR,DXCM,ISRG,ALGN
IEX,ROP,ROK,ITW,PH,EMR
IFF,MKC,KHC,GIS,K,MDLZ
INCY,REGN,BIIB,GILD,AMGN,VRTX
INTC,AMD,NVDA,QCOM,TXN,MU
INTU,ADBE,CRM,MSFT,WDAY,ADP
INVH,AVB,EQR,MAA,CPT,UDR
IP,PKG,AVY,AMCR,BALL,LYB
IPG,OMC,DIS,CMCSA,WBD,PARA
IQV,CRL,TMO,DHR,LH,IDXX
IR,ROK,EMR,ITW,PH,ETN
IRM,EQIX,DLR,AMT,CCI,SBAC
ISRG,SYK,ZBH,EW,ALGN,MDT
IT,SPGI,MSCI,MCO,FDS,CSGP
ITW,ROK,PH,EMR,ETN,ROP
IVZ,BLK,TROW,BEN,SCHW,RJF
J,LDOS,LHX,GD,TDY,HII
JBHT,ODFL,FDX,UPS,CHRW,EXPD
JBL,APH,TEL,GLW,HPQ,DELL
JCI,TT,LII,HON,AME,PH
JKHY,FIS,FI,GPN,PAYX,BR
JNJ,MRK,PFE,ABBV,AMGN,MDT
JNPR,CSCO,ANET,HPE,MSI,FFIV
JPM,BAC,C,WFC,PNC,USB
K,GIS,MDLZ,HSY,CPB,KHC
KDP,KO,PEP,MNST,STZ,KHC
KEY,FITB,RF,MTB,PNC,HBAN
KEYS,TER,TDY,TEL,A,FTV
KHC,GIS,K,CPB,MDLZ,HSY
KIM,REG,FRT,SPG,O,PSA
KKR,APO,BX,BLK,GS,MS
KLAC,LRCX,AMAT,TER,NVDA,MU
KMB,PG,CL,CHD,CLX,KHC
KMI,OKE,WMB,TRGP,OXY,PSX
KMX,AZO,ORLY,GPC,GM,F
KO,PEP,KDP,MNST,MDLZ,HSY
KR,WMT,COST,TGT,DG,DLTR
KVUE,PG,CL,KMB,CHD,CLX
L,CB,TRV,HIG,WRB,ALL
LDOS,J,LHX,GD,TDY,HII
LEN,DHI,PHM,NVR,MAS,VMC
LH,DGX,IDXX,DHR,TMO,CRL
LHX,LMT,NOC,RTX,GD,HII
LII,TT,JCI,AOS,HON,MAS
LIN,APD,ECL,DD,DOW,EMN
LKQ,GPC,AZO,ORLY,GM,F
LLY,MRK,PFE,ABBV,BMY,AMGN
LMT,NOC,RTX,GD,HII,LHX
LNT,WEC,XEL,DTE,CMS,AEP
LOW,HD,WSM,TGT,WMT,TSCO
LRCX,AMAT,KLAC,TER,NVDA,MU
LULU,NKE,DECK,RL,TPR,TJX
LUV,UAL,DAL,BA,RCL,MAR
LVS,MGM,WYNN,CZR,MAR,HLT
LW,K,GIS,KHC,MDLZ,CPB
LYB,DOW,EMN,DD,APD,CF
LYV,DIS,PARA,WBD,CMCSA,FOXA
MA,V,AXP,GPN,FI,PYPL
MAA,AVB,EQR,CPT,UDR,ESS
MAR,HLT,HST,MGM,LVS,WYNN
MAS,SWK,PHM,DHI,JCI,AOS
MCD,CMG,YUM,DPZ,SBUX,DRI
MCHP,TXN,NXPI,ON,MPWR,ADI
MCK,CAH,COR,CVS,WBA,UNH
MCO,SPGI,MSCI,FDS,ICE,CBOE
MDLZ,HSY,K,GIS,CPB,KHC
MDT,BDX,BSX,ABT,SYK,ZBH
MET,PRU,HIG,GL,PFG,AIG
META,GOOGL,GOOG,AAPL,MSFT,NFLX
MGM,LVS,WYNN,CZR,MAR,HLT
MHK,MAS,SWK,LOW,HD,SHW
MKC,HSY,MDLZ,K,GIS,KHC
MKTX,CBOE,NDAQ,CME,ICE,SPGI
MLM,VMC,PHM,DHI,CAT,DE
MMC,AON,WTW,AJG,BRO,CB
MMM,ITW,ROP,ROK,PH,EMR
MNST,KO,PEP,KDP,STZ,HSY
MO,PM,TAP,STZ,KHC,KO
MOH,UNH,CI,ELV,HUM,CNC
MOS,CF,CTVA,ADM,BG,LYB
MPC,VLO,PSX,XOM,CVX,OXY
MPWR,ON,NXPI,ADI,MCHP,TXN
MRK,PFE,BMY,LLY,ABBV,AMGN
MRNA,MRK,PFE,LLY,REGN,GILD
MS,GS,JPM,BAC,C,SCHW
MSCI,SPGI,MCO,FDS,ICE,CSGP
MSFT,AAPL,GOOGL,AMZN,META,ORCL
MSI,AXON,TDY,LHX,JNPR,CSCO
MTB,PNC,FITB,KEY,HBAN,RF
MTCH,META,GOOGL,NFLX,DIS,CMCSA
MTD,WAT,A,TMO,DHR,RVTY
MU,NVDA,AMD,INTC,TXN,AVGO
NCLH,RCL,CCL,MAR,HLT,MGM
NDAQ,CME,ICE,CBOE,SPGI,MSCI
NDSN,FTV,ROP,ROK,ITW,PH
NEE,DUK,SO,EXC,AEP,D
NEM,FCX,NUE,VMC,MLM,STLD
NFLX,DIS,WBD,PARA,CMCSA,GOOGL
NI,WEC,XEL,DTE,CMS,PEG
NKE,LULU,DECK,RL,TPR,TJX
NOC,LMT,RTX,GD,HII,LHX
NOW,CRM,MSFT,ADBE,INTU,ORCL
NRG,AES,NEE,D,EXC,SO
NSC,UNP,CSX,UPS,FDX,ODFL
NTAP,STX,WDC,DELL,HPE,CSCO
NTRS,STT,BK,SCHW,PNC,JPM
NUE,STLD,FCX,VMC,MLM,CAT
NVDA,AMD,INTC,AVGO,QCOM,MSFT
NVR,DHI,LEN,PHM,MAS,HD
NWS,NWSA,FOXA,PARA,WBD,DIS
NWSA,NWS,FOXA,PARA,WBD,DIS
NXPI,TXN,MCHP,ON,ADI,QCOM
O,SPG,FRT,REG,PSA,PLD
ODFL,UPS,FDX,JBHT,CHRW,EXPD
OKE,WMB,KMI,TRGP,PSX,VLO
OMC,IPG,DIS,WBD,CMCSA,GOOGL
ON,NXPI,MCHP,ADI,TXN,MPWR
ORCL,MSFT,CRM,NOW,ADBE,INTU
ORLY,AZO,GPC,KMX,TSCO,LKQ
OTIS,TT,JCI,LII,HON,PH
OXY,COP,EOG,CVX,XOM,FANG
PANW,FTNT,CRWD,AKAM,MSFT,CSCO
PARA,WBD,DIS,CMCSA,FOXA,NWSA
PAYC,PAYX,ADP,INTU,WDAY,DAY
PAYX,ADP,PAYC,INTU,FI,FIS
PCAR,CMI,CAT,DE,GM,F
PCG,EXC,DUK,SO,EIX,ED
PEG,ED,EXC,SO,D,EIX
PEP,KO,KDP,MNST,MDLZ,KHC
PFE,MRK,BMY,ABBV,LLY,JNJ
PFG,PRU,MET,GL,HIG,AIG
PG,CL,KMB,CHD,CLX,KVUE
PGR,ALL,CB,TRV,WRB,CINF
PH,ETN,ROK,EMR,ITW,ROP
PHM,LEN,DHI,NVR,MAS,LOW
PKG,IP,AVY,BALL,AMCR,LYB
PLD,ARE,BXP,O,PSA,SPG
PLTR,MSFT,NOW,CRM,ADBE,ORCL
PM,MO,TAP,STZ,KO,PEP
PNC,USB,WFC,JPM,BAC,MTB
PNR,PH,ETN,ROK,EMR,ITW
PNW,NEE,SO,D,EIX,EXC
PODD,DXCM,TMO,EW,IDXX,ISRG
POOL,MAS,LOW,HD,SHW,ROK
PPG,SHW,EMN,DOW,LYB,APD
PPL,D,SO,EXC,PEG,EIX
PRU,MET,PFG,GL,HIG,AIG
PSA,O,SPG,PLD,EQIX,DLR
PSX,VLO,MPC,XOM,CVX,OXY
PTC,ANSS,ADSK,CDNS,SNPS,ADBE
PWR,ETN,ROK,EMR,J,LDOS
PYPL,MA,V,GPN,FI,FIS
QCOM,AVGO,NVDA,TXN,NXPI,INTC
RCL,CCL,NCLH,MAR,HLT,DAL
REG,SPG,FRT,O,KIM,BXP
REGN,AMGN,GILD,BIIB,VRTX,MRK
RF,FITB,KEY,HBAN,PNC,MTB
RJF,SCHW,MS,GS,BLK,TROW
RL,TPR,LULU,NKE,DECK,TJX
RMD,ISRG,ZBH,SYK,EW,DXCM
ROK,ETN,EMR,PH,ITW,ROP
ROL,CTAS,WM,RSG,GWW,PWR
ROP,ROK,ITW,PH,EMR,IEX
ROST,TJX,WMT,TGT,COST,WSM
RSG,WM,CTAS,ROL,GWW,WSM
RTX,LMT,NOC,GD,HII,LHX
RVTY,TMO,DHR,A,WAT,MTD
SBAC,AMT,CCI,EQIX,DLR,IRM
SBUX,CMG,MCD,YUM,DPZ,DRI
SCHW,MS,GS,BLK,TROW,RJF
SHW,PPG,EMN,DOW,LYB,APD
SJM,K,GIS,KHC,MDLZ,HSY
SLB,HAL,BKR,OXY,COP,FANG
SMCI,NVDA,AMD,DELL,HPE,AVGO
SNA,SWK,MAS,ROK,ITW,PH
SNPS,CDNS,ANSS,ADBE,PTC,ADSK
SO,DUK,D,EXC,NEE,AEP
SOLV,MDT,ABT,BDX,BSX,HOLX
SPG,REG,FRT,O,KIM,BXP
SPGI,MSCI,MCO,FDS,ICE,CBOE
SRE,D,SO,EXC,AEP,EIX
STE,TMO,DHR,BDX,HOLX,EW
STLD,NUE,FCX,PH,CAT,EMN
STT,BK,NTRS,BLK,SCHW,JPM
STX,WDC,NTAP,DELL,HPE,CSCO
STZ,TAP,KO,PEP,KDP,MO
SW,AMCR,BALL,PKG,IP,AVY
SWK,MAS,SNA,ITW,ROK,PH
SWKS,AVGO,QCOM,NXPI,TXN,ON
SYF,COF,AXP,JPM,BAC,USB
SYK,ZBH,ISRG,MDT,EW,BSX
SYY,KR,WMT,COST,MDLZ,PEP
T,VZ,TMUS,CMCSA,CHTR,DIS
TAP,STZ,KO,PEP,KDP,MO
TDG,HWM,RTX,LMT,GE,TDY
TDY,LHX,RTX,HII,GD,TDG
TECH,TMO,DHR,A,MTD,WAT
TEL,APH,HUBB,GLW,KEYS,JCI
TER,KLAC,LRCX,AMAT,NVDA,TXN
TFC,PNC,USB,WFC,JPM,BAC
TGT,WMT,COST,DG,DLTR,WSM
TJX,ROST,WMT,TGT,COST,WSM
TKO,DIS,PARA,WBD,CMCSA,LYV
TMO,DHR,MTD,WAT,A,RVTY
TMUS,VZ,T,CMCSA,CHTR,AMT
TPL,OXY,EOG,COP,FANG,DVN
TPR,RL,LULU,NKE,TJX,ROST
TRGP,OKE,WMB,KMI,PSX,VLO
TRMB,TDY,HWM,IR,ROP,FTV
TROW,BLK,BEN,SCHW,IVZ,RJF
TRV,CB,AIG,ALL,HIG,WRB
TSCO,HD,LOW,WSM,DE,CAT
TSLA,GM,F,APTV,ALB,ON
TSN,KHC,MDLZ,GIS,K,HSY
TT,JCI,LII,HON,PH,ETN
TTWO,EA,MSFT,DIS,WBD,PARA
TXN,ADI,NXPI,MCHP,ON,QCOM
TXT,GD,LMT,HII,TDG,HWM
TYL,CRM,NOW,ORCL,MSFT,ADBE
UAL,DAL,LUV,BA,RCL,MAR
UBER,DASH,ABNB,BKNG,EXPE,GOOGL
UDR,AVB,EQR,MAA,CPT,ESS
UHS,HCA,DVA,DGX,LH,CI
ULTA,EL,TGT,WMT,PG,CL
UNH,HUM,ELV,CI,CVS,CNC
UNP,CSX,NSC,UPS,FDX,ODFL
UPS,FDX,ODFL,JBHT,CHRW,EXPD
URI,GWW,CAT,DE,FAST,ITW
USB,PNC,WFC,JPM,BAC,MTB
V,MA,AXP,GPN,FI,PYPL
VICI,MGM,WYNN,LVS,SPG,O
VLO,MPC,PSX,XOM,CVX,OXY
VLTO,TMO,DHR,A,WAT,MTD
VMC,MLM,PHM,DHI,CAT,DE
VRSK,SPGI,MCO,MSCI,FDS,CSGP
VRSN,GOOGL,MSFT,CSCO,AKAM,AMZN
VRTX,REGN,GILD,AMGN,BIIB,MRK
VST,NRG,AES,EXC,SO,D
VTR,WELL,DOC,ARE,BXP,O
VTRS,PFE,MRK,BMY,ABBV,JNJ
VZ,T,TMUS,CMCSA,CHTR,DIS
WAB,UNP,NSC,CSX,CAT,DE
WAT,MTD,TMO,DHR,A,RVTY
WBA,CVS,CAH,MCK,UNH,CI
WBD,PARA,DIS,CMCSA,NWSA,FOXA
WDAY,ADP,PAYX,INTU,CRM,MSFT
WDC,STX,NTAP,DELL,HPE,CSCO
WEC,XEL,DTE,CMS,AEP,NEE
WELL,VTR,DOC,ARE,BXP,O
WFC,JPM,BAC,C,PNC,USB
WM,RSG,CTAS,ROL,GWW,WMT
WMB,OKE,KMI,TRGP,PSX,VLO
WMT,TGT,COST,DG,DLTR,KR
WRB,CINF,CB,TRV,HIG,ALL
WSM,HD,LOW,TGT,WMT,TSCO
WST,TMO,DHR,MTD,WAT,RVTY
WTW,MMC,AON,AJG,BRO,CB
WY,PLD,O,SPG,IP,PKG
WYNN,LVS,MGM,CZR,MAR,HLT
XEL,WEC,DTE,CMS,NI,AEP
XOM,CVX,OXY,COP,EOG,PSX
XYL,PH,ETN,ROK,EMR,ITW
YUM,MCD,CMG,DPZ,SBUX,DRI
ZBH,SYK,ISRG,MDT,EW,BSX
ZBRA,GLW,KEYS,HPQ,MSI,TEL
ZTS,IDXX,MRK,PFE,LLY,ABT
